algsys.lisp	194	runtime	remprop	defun remorder	(REMPROP X 'VARORDER)
autol.lisp	39	runtime	setf get	defun auto-mspec	(SETF (GET FUN 'MFEXPR*) #'(LAMBDA (L) (ALOAD FILE) (FUNCALL (GET FUN 'MFEXPR*) L)))
basic-util.lisp	149	runtime	setf get	defun maxima-substitute	(SETF (GET TEM 'OPERATORS) 'APPLICATION-OPERATOR)
clmacs.lisp	269	macro	setf get	defmacro defprop	(SETF (GET ',SYM ',INDIC) ',VAL)
commac.lisp	13	macro	setf get	defmacro defun-prop	(SETF (GET ',(FIRST F) ',(SECOND F)) #'(LAMBDA ,ARG ,@BODY))
compar.lisp	273	runtime	remprop	defun killcontext	(REMPROP '$INITIAL 'DATA)
db.lisp	810	runtime	remprop	defun db-gc-nobjects	(REMPROP 'GLOBAL 'DATA)
dskfn.lisp	161	runtime	remprop	defun dskstore	(REMPROP ITEM 'EXPR)
dskfn.lisp	164	runtime	setf symbol-plist	defun dskstore	(SETF (SYMBOL-PLIST ITEM) (LIST* 'EXPR VAL (SYMBOL-PLIST ITEM)))
fortra.lisp	73	runtime	remprop	defun fortran-print	(REMPROP 'MMINUS 'LBP)
hayat.lisp	2050	runtime	setf symbol-plist	defun taylor1	(SETF (SYMBOL-PLIST G) NIL)
init-cl.lisp	884	runtime	setf symbol-plist	defun optimize-symbol-plist	(SETF (SYMBOL-PLIST S) (OPTIMIZED-PLIST (SYMBOL-PLIST S)))
limit.lisp	4692	runtime	remprop	defun calculate-series	(REMPROP VAR 'INTERNAL)
limit.lisp	4934	runtime	setf get	mapcar	(SETF (GET (CAR Q) 'RECIP) (CDR Q))
lmdcls.lisp	54	macro	remprop	defmacro declare-top	(REMPROP ',W 'SPECIAL '.GLOBALLY-SPECIAL.)
mactex.lisp	81	runtime	setf get	defmfun $set_tex_environment	(SETF (GET X 'TEX-ENVIRONMENT) `(,ENV-OPEN . ,ENV-CLOSE))
mactex.lisp	898	runtime	setf get	defun tex-setup	(SETF (GET A 'TEX) 'TEX-PREFIX)
mactex.lisp	899	runtime	setf get	defun tex-setup	(SETF (GET A 'TEXWORD) B)
mactex.lisp	900	runtime	setf get	defun tex-setup	(SETF (GET A 'TEXSYM) (LIST B))
mactex.lisp	901	runtime	setf get	defun tex-setup	(SETF (GET A 'TEX-RBP) 130)
mactex.lisp	1173	runtime	setf get	defun make-maxima-tex-glue	(SETF (GET OP 'TEX) GLUE-F)
marray.lisp	89	runtime	setf get	defun rearray-aux	(SETF (GET AR 'ARRAY) (APPLY 'LISPM-REARRAY (GET AR 'ARRAY) DIMS))
mat.lisp	461	runtime	remprop	defun displine	(REMPROP *LINELABEL* 'NODISP)
matcom.lisp	44	runtime	setf symbol-plist	defun free-rule-symbols	(SETF (SYMBOL-PLIST SYM) NIL)
matrun.lisp	79	runtime	remprop	defun removerule	(REMPROP RULE 'EXPR)
matrun.lisp	91	runtime	remprop	defun putprop-or-remprop	(REMPROP X Z)
mdebug.lisp	86	runtime	setf get	defun break-call	(SETF (GET KEY PROP) GEN)
mdebug.lisp	204	runtime	setf get	defun set-full-lineinfo	(SETF (GET FNAME 'LINEINFO) (COPY-SEQ *LINEINFO-ARRAY-INTERNAL*))
mdebug.lisp	206	runtime	setf get	defun set-full-lineinfo	(SETF (GET FNAME 'LINEINFO) NIL)
mdebug.lisp	455	runtime	setf get	defun def-break	(SETF (GET KEYWORD 'BREAK-COMMAND) FUN)
mdebug.lisp	456	runtime	setf get	defun def-break	(SETF (GET KEYWORD 'BREAK-DOC) DOC)
mdebug.lisp	583	runtime	push get	defun insert-break-point	(PUSH AT (GET FUN 'BREAK-POINTS))
mdebug.lisp	620	runtime	setf get	defun iterate-over-bkpts	(SETF (GET (BKPT-FUNCTION TEM) 'BREAK-POINTS) (DELETE I (GET (BKPT-FUNCTION TEM) 'BREAK-POINTS)))
mdefun.lisp	45	macro	remprop	defmacro defmtrfun	(REMPROP ',NAME 'TRANSLATE)
mforma.lisp	52	macro	push get	defmacro +def-mformat-var	(PUSH (NCONS INIT-CONDITION) (GET TYPE 'MFORMAT-STATE-VARS))
mforma.lisp	59	macro	push get	defmacro +def-mformat-op	(PUSH (CONS CHAR BODY) (GET TYPE 'MFORMAT-OPS))
mlisp.lisp	881	runtime	setf get	defun defstruct1	(SETF (GET (CAAR Z) 'DIMENSION) 'DIMENSION-DEFSTRUCT)
mlisp.lisp	889	runtime	setf get	defun defstruct1	(SETF (GET (CAAR Z) 'TRANSLATE) 'DEFSTRUCT-TRANSLATE)
mlisp.lisp	890	runtime	setf get	defun defstruct1	(SETF (GET (CAAR Z) 'OPERATORS) 'SIMPSTRUCT)
mlisp.lisp	1624	runtime	remprop	defun remove1	(REMPROP VAR 'LINEINFO)
mlisp.lisp	2162	runtime	setf get	defun set-lineinfo	(SETF (GET FNNAME 'LINEINFO) BODY)
mlisp.lisp	2163	runtime	remprop	defun set-lineinfo	(REMPROP FNNAME 'LINEINFO)
mopers.lisp	243	macro	setf get	defmacro defgrad	(SETF (GET ',NAME 'GRAD) `(,',ARGUMENTS ,,@BODY))
mopers.lisp	254	runtime	setf get	defun process-defgrad	(SETF (GET SYM 'GRAD) (LIST* ARGS (MAPCAR #'MEVAL* GLIST)))
mtrace.lisp	379	runtime	setf symbol-plist	defun trace-fshadow	(SETF (SYMBOL-PLIST FUN) `(,SHADOW ,VALUE ,@(SYMBOL-PLIST FUN)))
mtrace.lisp	385	runtime	remprop	defun trace-unfshadow	(REMPROP FUN 'MFEXPR)
mtrace.lisp	398	runtime	remprop	defun trace-unfshadow	(REMPROP FUN (GET! TYPE 'SHADOW))
nalgfa.lisp	60	runtime	setf symbol-plist	defun ordervar	(SETF (SYMBOL-PLIST NEWVAR) (SYMBOL-PLIST VAR))
nparse.lisp	148	runtime	setf get	defun tyi-parse-int	(SETF (GET '*PARSE-WINDOW* 'LENGTH) (LENGTH *PARSE-WINDOW*))
nparse.lisp	688	runtime	remprop	defun inherit-propl	(REMPROP OP-TO (CAR PROPL))
nparse.lisp	1759	runtime	remprop	defun kill-operator	(REMPROP OP X)
nparse.lisp	1767	runtime	remprop	defun kill-operator	(REMPROP NOUN-FORM X)
nset.lisp	1134	macro	setf get	defmacro def-nary	(SETF (GET ,FN '$NARY) (LIST #'(LAMBDA ,ARG ,F-BODY) ,ID))
opr-util.lisp	28	runtime	setf get	defun putopr	(SETF (GET X 'OPR) Y)
opr-util.lisp	33	runtime	remprop	defun remopr	(REMPROP X 'OPR)
optimize.lisp	23	macro	remprop	defmacro definline	(REMPROP ',NAME 'FIXED-ARGS)
optimize.lisp	24	macro	push get	defmacro definline	(PUSH '(,ARG-TYPES ,RETURN-TYPE ,(LOGIOR (IF NEW-OBJECT-P 1 0) (IF SIDE-EFFECT-P 2 0)) ,BODY) (GET '
optimize.lisp	33	runtime	setf get	defun proclaim-property	(SETF (GET V PROP) T)
rat3e.lisp	488	runtime	remprop	defun ratsetup1	(REMPROP G '$RATWEIGHT)
rat3e.lisp	493	runtime	remprop	defun ratsetup2	(REMPROP G 'ALGORD)
rat3e.lisp	497	runtime	remprop	defun ratsetup2	(REMPROP (CAR LG) 'TELLRAT)
rat3e.lisp	503	runtime	remprop	defun ratsetup2	(REMPROP G 'UNHACKED)
safe-recursion.lisp	46	runtime	setf get	defun call-with-safe-recursion	(SETF (GET NAME 'CURRENT-RECURSION-ARGS) (CONS ARG KNOWN-ARGS))
safe-recursion.lisp	49	runtime	setf get	defun call-with-safe-recursion	(SETF (GET NAME 'CURRENT-RECURSION-ARGS) (REMOVE ARG KNOWN-ARGS))
simp.lisp	88	runtime	setf get	mapc	(SETF (GET (FIRST X) 'OPERATORS) (SECOND X))
sublis.lisp	58	runtime	setf symbol-plist	defun msublis-setup	(SETF (SYMBOL-PLIST TEMP) (LIST* *MSUBLIS-MARKER* (CDAR X) (SYMBOL-PLIST TEMP)))
sublis.lisp	60	runtime	setf symbol-plist	defun msublis-setup	(SETF (SYMBOL-PLIST TEMP1) (LIST* *MSUBLIS-MARKER* (CDAR X) (SYMBOL-PLIST TEMP1)))
sublis.lisp	65	runtime	remprop	defun msublis-unsetup	(REMPROP (CAAR X) *MSUBLIS-MARKER*)
suprv1.lisp	211	runtime	remprop	defun kill1-atom	(REMPROP X 'RULE-SYMBOLS)
suprv1.lisp	226	runtime	remprop	defun kill1-atom	(REMPROP X 'LINEINFO)
suprv1.lisp	227	runtime	remprop	defun kill1-atom	(REMPROP X 'MPROPS)
suprv1.lisp	229	runtime	remprop	defun kill1-atom	(REMPROP X U)
suprv1.lisp	231	runtime	remprop	defun kill1-atom	(REMPROP X U)
suprv1.lisp	234	runtime	remprop	defun kill1-atom	(REMPROP X 'OPERATORS)
suprv1.lisp	236	runtime	remprop	defun kill1-atom	(REMPROP X 'SP2)
suprv1.lisp	255	runtime	remprop	defun kill1-atom	(REMPROP X 'GRAD)
suprv1.lisp	261	runtime	remprop	defun kill1-atom	(REMPROP X 'DIMENSION)
suprv1.lisp	262	runtime	remprop	defun kill1-atom	(REMPROP X 'DEFSTRUCT-TEMPLATE)
suprv1.lisp	263	runtime	remprop	defun kill1-atom	(REMPROP X 'DEFSTRUCT-DEFAULT)
suprv1.lisp	264	runtime	remprop	defun kill1-atom	(REMPROP X 'TRANSLATE)
suprv1.lisp	265	runtime	remprop	defun kill1-atom	(REMPROP X 'OPERATORS)
suprv1.lisp	267	runtime	remprop	defun kill1-atom	(REMPROP X 'NOUN)
suprv1.lisp	268	runtime	remprop	defun kill1-atom	(REMPROP X 'VERB)
suprv1.lisp	271	runtime	setf symbol-plist	defun kill1-atom	(SETF (SYMBOL-PLIST X) (COPY-TREE (GETHASH X *BUILTIN-SYMBOL-PROPS*)))
suprv1.lisp	288	runtime	remprop	defun kill1	(REMPROP U 'TIME)
suprv1.lisp	289	runtime	remprop	defun kill1	(REMPROP U 'NODISP)
suprv1.lisp	362	runtime	remprop	defun remvalue	(REMPROP X 'TIME)
suprv1.lisp	362	runtime	remprop	defun remvalue	(REMPROP X 'NODISP)
suprv1.lisp	517	runtime	remprop	defun remalias	(REMPROP X 'REVERSEALIAS)
suprv1.lisp	519	runtime	remprop	defun remalias	(REMPROP '$DIFF 'ALIAS)
suprv1.lisp	520	runtime	remprop	defun remalias	(REMPROP X 'REVERSEALIAS)
suprv1.lisp	521	runtime	remprop	defun remalias	(REMPROP X 'NOUN)
suprv1.lisp	523	runtime	remprop	defun remalias	(REMPROP (SETQ X Y) 'ALIAS)
suprv1.lisp	523	runtime	remprop	defun remalias	(REMPROP X 'VERB)
transl.lisp	465	runtime	setf get	defun tr-mdefine-toplevel	(SETF (GET NAME 'ONCE-TRANSLATED) T)
transl.lisp	467	runtime	setf get	defun tr-mdefine-toplevel	(SETF (GET NAME 'ONCE-TRANSLATED) ONCE)
transl.lisp	504	runtime	remprop	defun tr-mdefine-toplevel	(REMPROP (CAR DESC-HEADER) 'UNDEFINED-WARNP)
transl.lisp	505	runtime	setf get	defun tr-mdefine-toplevel	(SETF (GET (CAR DESC-HEADER) 'ONCE-TRANSLATED) I was once translated)
transl.lisp	521	runtime	remprop	defun translate-function	(REMPROP NAME 'SUBR)
transl.lisp	879	runtime	setf get	defmspec $declare_translated	(SETF (GET V 'ONCE-TRANSLATED) T)
transl.lisp	1439	runtime	setf get	defun setf	(SETF (GET A 'MODE) B)
